,number,value,datetime_start,datetime_complete,duration,params_Adadelta_eps,params_Adadelta_lr,params_Adadelta_rho,params_Adagrad_lr,params_Adagrad_lr_decay,params_Adagrad_weight_decay,params_Adam_beta1,params_Adam_beta2,params_Adam_eps,params_Adam_lr,params_Adam_weight_decay,params_Rprop_eta1,params_Rprop_eta2,params_Rprop_lr,params_Rprop_step_size1,params_Rprop_step_size2,params_ann_type,params_do_regularization,params_dropout_rate0,params_dropout_rate1,params_dropout_rate2,params_dropout_rate3,params_dropout_rate4,params_dropout_rate5,params_eps_batch_norm0,params_eps_batch_norm1,params_eps_batch_norm2,params_eps_batch_norm3,params_eps_batch_norm4,params_eps_batch_norm5,params_hidden_size_lstm_cell0,params_hidden_size_lstm_cell1,params_hidden_size_lstm_cell2,params_hidden_size_lstm_cell3,params_hidden_size_lstm_cell4,params_hidden_size_lstm_cell5,params_lin_act,params_loss_name,params_momentum__batch_norma0,params_momentum__batch_norma1,params_momentum__batch_norma2,params_momentum__batch_norma3,params_momentum__batch_norma4,params_momentum__batch_norma5,params_number_of_hidden_stacks,params_optimizer_name,params_out_lin0,params_out_lin1,params_out_lin2,params_out_lin3,params_out_lin4,params_out_lin5,params_use_default_optimizer_args,params_use_normalization_layer,state
34,34,,2022-08-23 09:20:35.004455,2022-08-23 09:22:24.753133,0 days 00:01:49.748678,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,32.0,1024.0,32.0,16.0,,,,HuberLoss,,,,,,,4,Adagrad,,,,,,,True,,PRUNED
35,35,,2022-08-23 09:22:24.753751,2022-08-23 09:23:58.405726,0 days 00:01:33.651975,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,32.0,1024.0,32.0,,,,,HuberLoss,,,,,,,3,Adagrad,,,,,,,True,,PRUNED
36,36,,2022-08-23 09:23:58.406255,2022-08-23 09:24:49.806359,0 days 00:00:51.400104,,,,0.06367247364361833,0.002962181357214778,0.0006511766627337707,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,Softplus,MSELoss,,,,,,,3,Adagrad,64.0,16.0,1024.0,,,,False,,PRUNED
37,37,,2022-08-23 09:24:49.806970,2022-08-23 09:25:51.480259,0 days 00:01:01.673289,,,,,,,,,,,,0.4844140398427587,1.103301371499277,0.05620060573913128,8.495406938242151e-05,24.69451952617108,fnn,False,,,,,,,,,,,,,,,,,,,Softplus,MSELoss,,,,,,,3,Rprop,64.0,16.0,1024.0,,,,False,,PRUNED
38,38,,2022-08-23 09:25:51.480946,2022-08-23 09:26:38.873610,0 days 00:00:47.392664,,,,0.07440901287573781,0.0440101394331263,0.00011043542998346863,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SELU,MSELoss,,,,,,,2,Adagrad,32.0,32.0,,,,,False,,PRUNED
39,39,,2022-08-23 09:26:38.873987,2022-08-23 09:26:52.034869,0 days 00:00:13.160882,,,,0.0821076946952504,0.06402128341061299,0.00035180818114766377,,,,,,,,,,,fnn,True,0.64,0.08,0.02,,,,,,,,,,,,,,,,SELU,MSELoss,,,,,,,3,Adagrad,128.0,32.0,256.0,,,,False,False,PRUNED
40,40,,2022-08-23 09:26:52.035439,2022-08-23 09:27:42.657145,0 days 00:00:50.621706,,,,,,,0.8522197148524928,0.9985591547392183,1.750917801594861e-09,0.0006346645209239637,0.00012965167596350755,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,MSELoss,,,,,,,2,Adam,32.0,256.0,,,,,False,,PRUNED
41,41,,2022-08-23 09:27:42.657772,2022-08-23 09:29:17.752335,0 days 00:01:35.094563,,,,0.03812955643166132,0.0030850458091033007,0.0009884683721801302,,,,,,,,,,,lstm,False,,,,,,,,,,,,,128.0,256.0,32.0,,,,,MSELoss,,,,,,,3,Adagrad,,,,,,,False,,PRUNED
42,42,,2022-08-23 09:29:17.753023,2022-08-23 09:31:54.739579,0 days 00:02:36.986556,2.4825205212782145e-07,0.9862128996605257,0.06634749113742489,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,64.0,64.0,64.0,128.0,256.0,128.0,,MSELoss,,,,,,,6,Adadelta,,,,,,,False,,PRUNED
43,43,,2022-08-23 09:31:54.740306,2022-08-23 09:33:54.127412,0 days 00:01:59.387106,1.5786413189709392e-06,0.7254172471297218,0.23112670063113838,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,64.0,64.0,64.0,128.0,,,,MSELoss,,,,,,,4,Adadelta,,,,,,,False,,PRUNED
44,44,,2022-08-23 09:33:54.128137,2022-08-23 09:34:08.438643,0 days 00:00:14.310506,,,,,,,0.9270388132403953,0.9508265628414053,9.239289867234561e-08,0.09831821705554106,0.0009199164533410774,,,,,,fnn,True,0.02,0.04,0.32,0.02,0.04,,,,,,,,,,,,,,Softplus,MSELoss,,,,,,,5,Adam,1024.0,64.0,64.0,16.0,32.0,,False,False,FAIL
45,45,,2022-08-23 09:34:08.439320,2022-08-23 09:34:22.831843,0 days 00:00:14.392523,,,,,,,0.9277781098680659,0.9510598394467176,9.326191896492077e-08,0.09921059215359043,0.0009013301467094983,,,,,,fnn,True,0.02,0.04,0.32,0.02,0.04,,,,,,,,,,,,,,Softplus,MSELoss,,,,,,,5,Adam,1024.0,64.0,64.0,1024.0,16.0,,False,False,FAIL
46,46,,2022-08-23 09:34:22.832388,2022-08-23 09:34:37.292079,0 days 00:00:14.459691,,,,,,,0.9272411740914718,0.9517654222211677,9.588342677646084e-08,0.09423698153311959,0.0008995498788693873,,,,,,fnn,True,0.02,0.04,0.32,0.04,0.16,,,,,,,,,,,,,,Softplus,MSELoss,,,,,,,5,Adam,1024.0,64.0,128.0,256.0,32.0,,False,False,FAIL
47,47,,2022-08-23 09:34:37.292826,2022-08-23 09:34:51.692199,0 days 00:00:14.399373,,,,,,,0.9258584912499419,0.9500288135513892,9.270067391364218e-08,0.09898883899685106,0.0008940357258680829,,,,,,fnn,True,0.02,0.04,0.32,0.02,0.16,,,,,,,,,,,,,,Softplus,MSELoss,,,,,,,5,Adam,1024.0,64.0,128.0,64.0,32.0,,False,False,FAIL
